item_dec	item_id
电缆保护管,CPVC,φ200	0
电缆保护管,MPP,φ200	1
电缆保护管,CPVC,φ100	2
低压电力电缆,YJV,铜,150,4芯,ZC,22,普通	3
低压电力电缆,YJV,铜,240,4芯,ZC,22,普通	4
配电终端,站所终端(DTU)	5
直流电源系统,DC110V,10A	6
低压电力电缆,YJV,铜,70,4芯,ZC,22,普通	7
低压电力电缆,YJV,铜,50,4芯,ZC,22,普通	8
10kV电缆中间接头,3×240,直通接头,冷缩,铜	9
1kV电缆终端,4×240,户内终端,冷缩,铜	10
低压开关柜,AC380V,抽屉式,进线,2500A,65kA	11
环网柜,AC10kV,125A,负荷开关熔断器组合柜,SF6,户内	12
10kV变压器,630kVA,普通,硅钢片,干式	13
低压电容器柜,AC380V,固定式,130kvar	14
电缆分支箱,AC400V,塑壳断路器,七路,630A	15
电缆分支箱,AC400V,塑壳断路器,七路,400A	16
10kV电缆终端,3×240,户内终端,冷缩,铜	17
1kV电缆终端,4×70,户内终端,冷缩,铜	18
高压开关柜,AC20kV,站用变开关柜,小车式,630A,25kA,真空	19
高压开关柜,AC20kV,母线设备柜,小车式,630A,无开关,无	20
高压开关柜,AC20kV,进线开关柜,小车式,630A,25kA,真空	21
10kV变压器,800kVA,普通,硅钢片,干式	22
封闭绝缘母线,AC1kV,2500A,四相	23
10kV电缆中间接头,3×400,直通接头,冷缩,铜	24
环网柜,AC10kV,630A,负荷开关柜,空气,无型号	25
环网柜,AC10kV,125A,负荷开关熔断器组合柜,空气,无型号	26
环网柜,AC10kV,630A,电压互感器柜,空气,无型号	27
视频监视系统	28
10kV电缆终端,3×70,户内终端,冷缩,铜	29
电能计量箱,单相,12,金属	30
环网柜,AC10kV,630A,电压互感器柜,SF6,户内	31
环网柜,AC10kV,630A,断路器柜,SF6,户内	32
高压开关柜,AC10kV,站用变开关柜,小车式,1250A,无开关,无	33
高压开关柜,AC10kV,进线开关柜,小车式,1250A,25kA,真空	34
高压开关柜,AC10kV,母线设备柜,小车式,1250A,无开关,无	35
低压开关柜,AC380V,抽屉式,分段,2500A,65kA	36
环网柜,AC10kV,630A,负荷开关柜,SF6,户内	37
高压开关柜,AC10kV,进线开关柜,小车式,1250A,31.5kA,真空	38
