factory_dic	factory_id
苏州供电公司/国网	0
昆山市供电公司/国网	1
常熟市供电公司/国网	2
吴江市供电公司/国网	3
张家港市供电公司/国网	4
姜堰市供电公司/国网	5
南京供电公司/国网	6
淮安供电公司/国网	7
启东市供电公司/国网	8
无锡供电公司/国网	9
兴化市供电公司/国网	10
盐城供电公司本部/国网	11
大丰供电公司/国网	12
射阳供电公司/国网	13
镇江供电公司/国网	14
宜兴市供电公司/国网	15
东台供电公司/国网	16
仪征市供电公司/国网	17
太仓市供电公司/国网	18
高邮市供电公司/国网	19
泰兴市供电公司/国网	20
江苏省电力有限公司营销服务中心/国网	21
句容市供电公司/国网	22
江都市供电公司/国网	23
宝应县供电公司/国网	24
邳州市供电公司/国网	25
铜山供电公司/国网	26
扬州供电公司/国网	27
滨海供电公司/国网	28
泗阳县供电公司/国网	29
新沂市供电公司/国网	30
常州供电公司/国网	31
如东县供电公司/国网	32
高淳市供电公司/国网	33
江阴市供电公司/国网	34
睢宁县供电公司/国网	35
金坛市供电公司/国网	36
如皋市供电公司/国网	37
南通市通州区供电公司/国网	38
海门市供电公司/国网	39
东海供电公司/国网	40
阜宁供电公司/国网	41
宿迁市供电公司/国网	42
响水供电公司/国网	43
建湖供电公司/国网	44
靖江市供电公司/国网	45
徐州供电公司/国网	46
赣榆供电公司/国网	47
洪泽县供电公司/国网	48
溧阳市供电公司/国网	49
连云港供电公司/国网	50
灌云供电公司/国网	51
盱眙县供电公司/国网	52
徐州市贾汪区供电分公司/国网	53
海安县供电公司/国网	54
丹阳市供电公司/国网	55
泗洪县供电公司/国网	56
南京市江宁区供电分公司/国网	57
溧水市供电公司/国网	58
沛县供电公司/国网	59
金湖县供电公司/国网	60
扬中市供电公司/国网	61
泰州供电公司/国网	62
丰县供电公司/国网	63
灌南供电公司/国网	64
涟水县供电公司/国网	65
南通市供电公司/国网	66
沭阳县供电公司/国网	67
南京市江北新区供电分公司/国网	68
国网江苏省电力有限公司建设分公司	69
江苏省电力公司检修分公司/国网	70
江苏省电力公司物资供应公司/国网	71
江苏省电力公司电力科学研究院/国网	72
江苏省电力公司信息通信分公司/国网	73
江苏省电力公司高级管理培训中心/国网	74
国网江苏省电力有限公司综合服务中心	75
江苏省电力公司经济技术研究院/国网	76
国网江苏省电力有限公司双创中心	77
江苏省电力公司生产技能培训中心/国网	78
